type,id,title,issues,admin_url,public_url
photos,2671,Jordan River 1,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2671,https://holy-land-photos.vercel.app/photos/ICJVQY06
photos,2672,Interior 2,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2672,https://holy-land-photos.vercel.app/photos/ICHESHBA03
photos,2674,Mosaic 1,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2674,https://holy-land-photos.vercel.app/photos/ICHESHBA07
photos,2676,Mosaic 3,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2676,https://holy-land-photos.vercel.app/photos/ICHESHBA05
photos,2678,Storage Jar,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2678,https://holy-land-photos.vercel.app/photos/ICHESHTL04
photos,2696,Southern False Door,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2696,https://holy-land-photos.vercel.app/photos/IJTBAN07
photos,2704,Inscription 2,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2704,https://holy-land-photos.vercel.app/photos/ISNHMM16
photos,2710,Unexcavated Areas,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2710,https://holy-land-photos.vercel.app/photos/ISNHMM25
photos,2729,Hezir Interior 2,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2729,https://holy-land-photos.vercel.app/photos/IJNTKV11
photos,2730,Hebrew Inscription YHWH,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2730,https://holy-land-photos.vercel.app/photos/ICHMMG20
photos,2735,Entrance,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2735,https://holy-land-photos.vercel.app/photos/IJTBAN02
photos,2740,Gate House,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2740,https://holy-land-photos.vercel.app/photos/IJOTEMG04
photos,2742,Jehoshaphat's Tomb,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2742,https://holy-land-photos.vercel.app/photos/IJNTKV14
photos,2744,False Door,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2744,https://holy-land-photos.vercel.app/photos/IJTBAN04
photos,2746,Context of Mithraeum,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2746,https://holy-land-photos.vercel.app/photos/ICSPCMMI01
photos,2748,Altar Area,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2748,https://holy-land-photos.vercel.app/photos/ICSPCMMI03
photos,2755,City Gate,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2755,https://holy-land-photos.vercel.app/photos/ISNHMM01
photos,2761,Sitz Bath,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2761,https://holy-land-photos.vercel.app/photos/ISNHMM24
photos,2762,North Slope,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2762,https://holy-land-photos.vercel.app/photos/ICHJHRHT31
photos,2779,Plan of Mamshit,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2779,https://holy-land-photos.vercel.app/photos/ISNHMM10
photos,2785,Gate and Forum 2,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2785,https://holy-land-photos.vercel.app/photos/TCMCPE31
photos,2788,SB Frigidarium,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2788,https://holy-land-photos.vercel.app/photos/TCMCPE40
photos,2789,SB Tepidarium,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2789,https://holy-land-photos.vercel.app/photos/TCMCPE41
photos,2790,SB Caldarium,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2790,https://holy-land-photos.vercel.app/photos/TCMCPE42
photos,2795,Palace Detail,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2795,https://holy-land-photos.vercel.app/photos/TCMCAL04
photos,2801,Gate and Forum,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2801,https://holy-land-photos.vercel.app/photos/TCMCPE30
photos,2802,Cleaning,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2802,https://holy-land-photos.vercel.app/photos/IJHRLO01
photos,2825,Chapel of St. Paul 1,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2825,https://holy-land-photos.vercel.app/photos/GICRFH10
